00000000) perceptual - 53.96393; equivariance_value - 0.21436; warp_loss - 0.48377
00000000) perceptual - 53.95184; equivariance_value - 0.21432; warp_loss - 0.48279
00000001) perceptual - 54.59198; equivariance_value - 0.21411; warp_loss - 0.48784
00000002) perceptual - 54.90428; equivariance_value - 0.21274; warp_loss - 0.48885
00000003) perceptual - 54.96794; equivariance_value - 0.21173; warp_loss - 0.48800
00000004) perceptual - 55.48198; equivariance_value - 0.21135; warp_loss - 0.49258
00000005) perceptual - 55.35285; equivariance_value - 0.21005; warp_loss - 0.48954
00000006) perceptual - 55.63549; equivariance_value - 0.20985; warp_loss - 0.49210
00000007) perceptual - 55.40237; equivariance_value - 0.20844; warp_loss - 0.48977
00000008) perceptual - 55.17648; equivariance_value - 0.20834; warp_loss - 0.48637
00000009) perceptual - 54.93272; equivariance_value - 0.20631; warp_loss - 0.48569
00000010) perceptual - 54.76060; equivariance_value - 0.20707; warp_loss - 0.48092
00000011) perceptual - 54.97507; equivariance_value - 0.20709; warp_loss - 0.48028
00000012) perceptual - 54.56717; equivariance_value - 0.20584; warp_loss - 0.47446
00000013) perceptual - 54.44880; equivariance_value - 0.20559; warp_loss - 0.47237
00000014) perceptual - 54.39620; equivariance_value - 0.20533; warp_loss - 0.46930
00000015) perceptual - 54.34478; equivariance_value - 0.20478; warp_loss - 0.46721
00000016) perceptual - 53.98090; equivariance_value - 0.20501; warp_loss - 0.46355
00000017) perceptual - 53.94292; equivariance_value - 0.20295; warp_loss - 0.46135
00000018) perceptual - 53.61293; equivariance_value - 0.20335; warp_loss - 0.45721
00000019) perceptual - 53.73891; equivariance_value - 0.20292; warp_loss - 0.45669
